Hour,Day_Num,Month,Is_Weekend,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,Primary Type,Is_Night,TSNE1,TSNE2,Time_Period
16,0,6,0,3,41.890961404,-87.622476522,18,2,1834,8,0,0,DECEPTIVE PRACTICE,0,0.12415363,-8.260062,Day (6AM-8PM)
11,4,7,0,3,41.95208984,-87.647891491,19,46,1925,6,0,0,THEFT,0,9.762942,-4.8144073,Day (6AM-8PM)
10,4,6,0,5,41.938402157,-87.779695935,16,30,1633,17,0,0,MOTOR VEHICLE THEFT,0,4.309183,-4.093266,Day (6AM-8PM)
14,2,8,0,3,41.953516913,-87.647905611,19,46,1925,6,0,0,THEFT,0,10.10506,-5.615169,Day (6AM-8PM)
14,0,3,0,3,41.893223483,-87.63153437,18,42,1832,8,0,0,THEFT,0,11.056635,-3.9115398,Day (6AM-8PM)
3,5,11,1,3,41.84419849,-87.728698811,10,22,1031,30,1,0,CRIMINAL TRESPASS,1,0.7721357,4.3922567,Night (8PM-6AM)
20,5,3,1,3,41.888267493,-87.627075047,18,42,1834,8,0,0,THEFT,1,9.83094,9.353571,Night (8PM-6AM)
15,6,12,1,4,41.869913756,-87.695996711,11,28,1135,27,1,0,NARCOTICS,0,1.3639935,4.268703,Day (6AM-8PM)
20,0,3,0,3,41.931373416,-87.641884161,19,43,1935,7,0,0,CRIMINAL DAMAGE,1,11.907353,-3.816113,Night (8PM-6AM)
17,2,3,0,5,41.877753722,-87.624308341,1,34,113,32,1,0,BURGLARY,0,-4.6253505,1.0643618,Day (6AM-8PM)
23,4,9,0,6,41.701958639,-87.537701144,4,10,432,52,1,0,ASSAULT,1,-3.5129485,-0.6113561,Night (8PM-6AM)
12,5,2,1,3,41.867307342,-87.671365749,12,27,1231,28,0,0,THEFT,0,3.798729,12.959626,Day (6AM-8PM)
8,6,12,1,3,41.75230805,-87.654385936,6,17,612,71,0,0,THEFT,0,-6.5563636,11.796127,Day (6AM-8PM)
15,4,12,0,6,41.909664252,-87.742728815,25,37,2533,25,0,0,ASSAULT,0,10.539916,-0.7086741,Day (6AM-8PM)
0,6,9,1,10,41.896263198,-87.647739486,12,27,1214,24,0,0,HOMICIDE,1,2.5857673,10.055841,Night (8PM-6AM)
9,5,4,1,2,41.9452578,-87.747730379,16,31,1634,15,0,0,OTHER OFFENSE,0,5.3338914,10.603824,Day (6AM-8PM)
19,6,3,1,3,41.890300892,-87.631088915,18,42,1831,8,0,0,THEFT,0,9.846223,9.291476,Day (6AM-8PM)
21,2,5,0,6,41.947207254,-87.687055795,19,47,1921,5,0,1,BATTERY,1,7.901443,1.9880677,Night (8PM-6AM)
19,6,3,1,6,41.745382548,-87.601380078,6,8,631,44,0,0,BATTERY,0,-5.1769366,6.667362,Day (6AM-8PM)
10,1,9,0,3,41.943266352,-87.674465841,19,47,1922,5,0,0,DECEPTIVE PRACTICE,0,9.374436,-5.391976,Day (6AM-8PM)
9,3,12,0,3,41.932062383,-87.745348367,25,31,2521,19,0,0,THEFT,0,13.156254,0.15145223,Day (6AM-8PM)
13,0,7,0,5,41.910803834,-87.639795351,18,2,1821,8,0,0,BURGLARY,0,0.41531712,-7.114176,Day (6AM-8PM)
19,1,1,0,5,42.001822361,-87.689987495,24,40,2412,2,0,0,MOTOR VEHICLE THEFT,0,7.772529,-0.80061734,Day (6AM-8PM)
20,3,6,0,4,41.873578134,-87.764614167,15,29,1513,25,1,0,NARCOTICS,1,2.8360264,-1.0747564,Night (8PM-6AM)
23,3,8,0,7,41.8950499,-87.632678698,18,42,1832,8,1,0,ROBBERY,1,2.9780014,1.4207577,Night (8PM-6AM)
21,6,4,1,3,41.945039683,-87.654774622,19,44,1924,6,0,0,THEFT,1,9.721024,9.432173,Night (8PM-6AM)
0,3,5,0,6,41.766897557,-87.575098672,3,5,331,43,0,1,BATTERY,1,-10.773951,1.2982999,Night (8PM-6AM)
14,4,9,0,2,41.914705272,-87.75728681,25,37,2532,25,0,0,OTHER OFFENSE,0,13.564543,0.34270075,Day (6AM-8PM)
6,1,1,0,3,41.74364168,-87.688229151,8,18,835,70,0,0,CRIMINAL DAMAGE,0,-3.0590231,-7.2730823,Day (6AM-8PM)
6,1,9,0,3,41.776859374,-87.777054678,8,13,812,64,0,0,THEFT,0,-2.1083424,-6.5740523,Day (6AM-8PM)
4,1,11,0,5,41.865987348,-87.68434634,12,28,1233,28,0,0,MOTOR VEHICLE THEFT,1,3.5230563,-5.561239,Night (8PM-6AM)
