Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.809892032,-87.639318659,0,MOTOR VEHICLE THEFT,2,0,3
41.808028819,-87.684414463,1,THEFT,7,0,0
41.944953005,-87.649416212,0,THEFT,4,0,2
41.743747899,-87.557606571,0,THEFT,5,0,7
41.759277763,-87.641825166,0,CRIMINAL DAMAGE,2,0,5
41.768033903,-87.570983391,0,CRIMINAL DAMAGE,5,0,7
41.854770868,-87.630148953,0,CRIMINAL TRESPASS,0,0,3
41.893371307,-87.622108226,0,BATTERY,0,0,6
41.879235852,-87.624347038,0,THEFT,0,0,6
41.853505832,-87.695498927,0,ASSAULT,1,0,1
41.784203397,-87.666761687,0,BATTERY,7,0,0
41.790607302,-87.649273538,1,WEAPONS VIOLATION,2,0,0
41.756172866,-87.612622686,0,OTHER OFFENSE,2,0,3
41.759402215,-87.644268517,1,NARCOTICS,6,0,0
41.758420277,-87.554966924,0,CRIMINAL DAMAGE,5,0,7
41.966053999,-87.657890403,0,ASSAULT,4,0,2
41.864493678,-87.639158,1,THEFT,0,0,6
41.906611899,-87.659828826,0,THEFT,0,0,2
41.87167439,-87.721515279,0,CRIMINAL DAMAGE,1,0,1
41.914573735,-87.648370219,0,OTHER OFFENSE,0,0,6
41.793545571,-87.701843839,0,MOTOR VEHICLE THEFT,7,0,0
41.777804165,-87.599306718,0,THEFT,2,0,3
41.795111262,-87.70360708,0,DECEPTIVE PRACTICE,7,0,0
41.778026808,-87.607135301,0,WEAPONS VIOLATION,2,0,3
41.775436328,-87.692489613,0,CRIMINAL DAMAGE,7,0,0
41.995224176,-87.662930879,0,BATTERY,4,0,2
41.952742326,-87.726269699,0,THEFT,1,0,1
41.756359172,-87.562681036,0,CRIMINAL SEXUAL ASSAULT,5,0,7
41.935137774,-87.649094759,0,THEFT,0,0,2
41.814341505,-87.604476539,0,BURGLARY,2,0,3
41.912194403,-87.726407916,0,BATTERY,1,0,1
41.895922498,-87.749441135,0,BATTERY,1,0,1
41.777851045,-87.772177316,1,THEFT,7,0,0
41.981051896,-87.668375719,1,THEFT,4,0,2
