Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.804028098,-87.60961824,0,THEFT,2,0,3
41.794406612,-87.583931489,0,OTHER OFFENSE,2,0,3
41.792522974,-87.703529737,0,BATTERY,7,0,0
41.926330261,-87.654421711,0,THEFT,0,0,2
41.84746555,-87.728440495,0,BATTERY,1,0,1
41.871848545,-87.729532443,1,NARCOTICS,1,0,1
41.765056283,-87.584745993,0,CRIMINAL DAMAGE,5,0,7
41.902917894,-87.697817532,0,THEFT,1,0,2
41.807646291,-87.741110208,0,THEFT,7,0,0
41.666262754,-87.630688806,0,DECEPTIVE PRACTICE,6,0,5
41.953480143,-87.688451919,1,THEFT,4,0,2
41.870389764,-87.625902397,0,MOTOR VEHICLE THEFT,0,0,6
41.924825715,-87.773316522,0,ASSAULT,3,0,4
41.939919204,-87.653421188,0,THEFT,4,0,2
41.749156802,-87.741058092,0,ASSAULT,7,0,0
41.764958665,-87.660344665,0,BATTERY,6,0,0
41.873017053,-87.727865513,1,NARCOTICS,1,0,1
41.740377586,-87.55148777,1,OTHER OFFENSE,5,0,7
41.85526849,-87.65169399,0,ASSAULT,0,0,6
41.924226032,-87.79892658,0,OTHER OFFENSE,3,0,4
41.991595169,-87.707938554,0,CRIMINAL TRESPASS,4,0,1
41.790548947,-87.625596521,1,WEAPONS VIOLATION,2,0,3
41.801274838,-87.669947965,0,ASSAULT,7,0,0
41.821766586,-87.69172702,0,THEFT,7,0,0
41.699479019,-87.612333296,0,MOTOR VEHICLE THEFT,6,0,5
41.749447285,-87.659777439,0,BATTERY,6,0,0
41.810860761,-87.601728223,0,THEFT,2,0,3
41.863900549,-87.72266505,1,NARCOTICS,1,0,1
41.731647505,-87.571025446,0,THEFT,5,0,7
41.724759737,-87.625135769,0,BURGLARY,6,0,5
41.919483409,-87.758467399,0,DECEPTIVE PRACTICE,3,0,1
41.658657222,-87.539884785,1,NARCOTICS,5,0,7
41.944720347,-87.663952795,0,DECEPTIVE PRACTICE,4,0,2
41.70159425,-87.563987126,1,BATTERY,5,0,7
41.779631054,-87.596180489,0,BATTERY,2,0,7
41.91058325,-87.726353375,1,THEFT,1,0,1
41.783232282,-87.614483001,0,OTHER OFFENSE,2,0,3
41.91114034,-87.636904049,0,DECEPTIVE PRACTICE,0,0,6
41.906492227,-87.640179991,0,BATTERY,0,0,6
41.868301629,-87.698744259,0,ROBBERY,1,0,1
41.709241173,-87.560900161,0,THEFT,5,0,7
42.016087843,-87.696106936,0,THEFT,4,0,2
41.750608686,-87.61370005,0,ASSAULT,2,0,3
41.811443713,-87.598471599,0,OFFENSE INVOLVING CHILDREN,2,0,3
41.68095149,-87.620604766,1,NARCOTICS,6,0,5
41.764658159,-87.637086554,0,ASSAULT,2,0,0
41.759366666,-87.653967008,0,BATTERY,6,0,0
41.769539234,-87.656664006,0,BATTERY,2,0,0
41.890735588,-87.624124394,1,OTHER OFFENSE,0,0,6
41.917656022,-87.688750258,0,THEFT,1,0,2
41.737357432,-87.553297748,1,STALKING,5,0,7
41.770213487,-87.615379862,0,CRIMINAL DAMAGE,2,0,3
41.953585919,-87.733268742,0,BURGLARY,3,0,1
41.765169516,-87.618467488,0,THEFT,2,0,3
41.909636288,-87.745300725,1,THEFT,1,0,1
41.758811048,-87.581923103,0,THEFT,5,0,7
41.969017425,-87.715826399,0,BATTERY,4,0,1
41.970030443,-87.693845019,0,DECEPTIVE PRACTICE,4,0,2
41.924726439,-87.647754531,0,MOTOR VEHICLE THEFT,0,0,2
41.949828484,-87.666509379,0,ASSAULT,4,0,2
41.909894452,-87.780133375,0,BATTERY,3,0,4
41.742105731,-87.569736541,0,CRIMINAL DAMAGE,5,0,7
41.851436512,-87.646460241,0,BATTERY,0,0,6
41.664375951,-87.628213335,0,OTHER OFFENSE,6,0,5
41.865100174,-87.726361583,0,MOTOR VEHICLE THEFT,1,0,1
41.935432921,-87.668504341,1,THEFT,4,0,2
41.872268662,-87.696057765,0,MOTOR VEHICLE THEFT,1,0,1
41.885674771,-87.664294079,0,CRIMINAL DAMAGE,0,0,6
41.771630718,-87.647004386,0,THEFT,2,0,0
41.899042567,-87.724060418,0,ASSAULT,1,0,1
41.850027968,-87.680686825,0,THEFT,1,0,1
41.885845816,-87.677773748,0,THEFT,0,0,1
41.882394062,-87.627844798,0,THEFT,0,0,6
41.889906681,-87.624100509,0,THEFT,0,0,6
41.857971121,-87.655325101,0,THEFT,0,0,6
41.902974842,-87.691281983,0,THEFT,1,0,2
41.793571713,-87.632974565,0,MOTOR VEHICLE THEFT,2,0,3
41.729069527,-87.585478997,0,THEFT,5,0,7
41.712323266,-87.602901628,1,BATTERY,5,0,5
41.767683794,-87.656613857,1,OTHER OFFENSE,6,0,0
41.880366516,-87.6243529,1,BATTERY,0,0,6
41.885741029,-87.631711749,1,WEAPONS VIOLATION,0,0,6
