Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
11,6,6,1,0,6,41.73809141,-87.56694085,4,8,412,46,0,0,-2.5902510011531,2.0658862527007122,CRIMINAL DAMAGE
3,0,8,0,1,6,41.872484426,-87.640892683,1,28,124,28,0,0,-1.0457808425480708,-1.1250865729090347,THEFT
5,4,2,0,1,3,41.911758366,-87.721808638,25,26,2535,23,0,0,2.7716854493106737,0.10019151825571053,MOTOR VEHICLE THEFT
3,4,1,0,1,5,41.794296825,-87.583929101,2,5,235,41,0,0,-2.462210856424394,0.21791033751388875,THEFT
12,5,3,1,0,5,41.795249204,-87.581846018,2,5,235,41,0,0,-2.432206381472234,1.6532598633071183,BURGLARY
2,2,10,0,1,6,41.730850434,-87.602515923,6,8,633,47,0,1,-2.4095159116738456,-0.1647276077221493,BURGLARY
6,6,4,1,0,3,41.975303861,-87.653563486,20,48,2024,3,0,0,3.098501451972262,1.92444900463072,BATTERY
11,4,1,0,0,3,41.832233,-87.646140874,9,11,915,60,0,0,-1.1041984242846212,-0.2965058351965084,BATTERY
14,3,5,0,0,3,41.953540189,-87.737132972,17,30,1731,16,0,0,2.2982175135198664,-0.6930696140054697,MOTOR VEHICLE THEFT
1,6,11,1,1,5,41.935094598,-87.798053027,25,36,2511,18,0,0,3.6263348388317684,2.469053579305922,MOTOR VEHICLE THEFT
8,4,4,0,0,3,41.926261042,-87.766068398,25,30,2515,19,0,0,3.2735378614283412,-0.2495930600960792,BURGLARY
16,5,7,1,0,3,41.85102174,-87.618954852,1,4,132,33,0,0,-1.9166170924888373,1.4612283338889807,CRIMINAL DAMAGE
11,0,6,0,0,6,41.925133828,-87.640191373,18,43,1814,7,0,0,2.154737826143904,-1.530021210922294,MOTOR VEHICLE THEFT
12,6,11,1,0,3,41.790745458,-87.593200253,2,5,235,41,0,0,-2.339911207619253,1.8406522680593325,BURGLARY
10,3,3,0,0,6,41.960493543,-87.710676751,17,33,1724,16,0,1,2.011249486190126,-0.21070604102689508,BURGLARY
16,6,11,1,0,3,41.903603648,-87.677268862,14,1,1424,24,0,0,0.35252582195939874,1.8160873558052146,SEX OFFENSE
9,5,5,1,0,3,41.754592961,-87.741528537,8,18,833,65,0,0,-0.931258318796818,1.6149313190517274,OTHER OFFENSE
14,3,8,0,0,6,41.774419127,-87.700579731,8,15,831,66,1,1,-1.46132572750088,-0.2545529410416347,THEFT
15,4,7,0,0,6,41.903077492,-87.683673325,12,1,1212,24,0,0,0.00981042663347607,-0.17398426761213953,OTHER OFFENSE
8,0,7,0,0,3,41.924277399,-87.636526022,18,43,1814,7,0,0,2.22247199574515,-1.6917708613984794,BURGLARY
14,4,12,0,0,6,41.782132982,-87.702010828,8,15,823,66,0,0,-1.2587604898416271,-0.15989771667992236,ROBBERY
18,5,3,1,0,3,41.725030227,-87.649863356,22,21,2222,73,1,0,0.1326108401079794,1.496362127235628,THEFT
20,3,10,0,1,4,41.767908748,-87.680794016,8,17,832,66,1,0,-1.327421338280903,-0.40062490626668695,OTHER OFFENSE
0,1,7,0,1,6,41.784514852,-87.653411928,7,16,712,68,0,1,-1.84033631793831,-0.4576959909133984,CRIMINAL TRESPASS
