Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.938536771,-87.729631491,0,THEFT,1,0,1,3
41.985889024,-87.777066756,0,THEFT,3,0,4,3
41.896810209,-87.749161243,0,BATTERY,1,0,1,6
41.992826037,-87.700694442,0,THEFT,4,0,2,3
41.75160043,-87.667113761,0,BATTERY,6,0,0,6
41.882407184,-87.686468002,1,WEAPONS VIOLATION,1,0,1,5
41.890222244,-87.765215781,1,NARCOTICS,3,0,1,4
41.953438388,-87.746133511,0,OTHER OFFENSE,3,0,4,2
42.001793647,-87.704615816,0,THEFT,4,0,1,3
41.936908741,-87.63692881,1,WEAPONS VIOLATION,0,0,2,5
41.933887617,-87.708013834,0,THEFT,1,0,1,3
41.89920884,-87.755703376,0,BATTERY,3,0,1,6
41.956312231,-87.698309382,0,CRIMINAL DAMAGE,4,0,1,3
41.939361225,-87.703292485,0,THEFT,4,0,1,3
41.673548279,-87.616795523,0,ROBBERY,6,0,5,7
41.762390218,-87.645552416,0,ASSAULT,2,0,0,6
41.89152994,-87.66552946,0,THEFT,0,0,2,3
41.956106188,-87.671068915,0,MOTOR VEHICLE THEFT,4,0,2,5
41.803671998,-87.703846021,0,THEFT,7,0,0,3
41.778340981,-87.703122242,1,THEFT,7,0,0,3
41.789674497,-87.71669989,0,DECEPTIVE PRACTICE,7,0,0,3
41.923672617,-87.786301606,0,THEFT,3,0,4,3
41.945863902,-87.767912706,1,NARCOTICS,3,0,4,4
41.911669895,-87.631931184,0,DECEPTIVE PRACTICE,0,0,6,3
41.902265932,-87.754070562,1,NARCOTICS,3,0,1,4
41.788629994,-87.726694785,0,BATTERY,7,0,0,6
41.931589197,-87.74244575,0,BATTERY,3,0,1,6
41.765391491,-87.566498738,0,THEFT,5,0,7,3
41.884952818,-87.750337933,0,BATTERY,1,0,1,6
41.777810401,-87.593008043,0,THEFT,2,0,7,3
41.777065079,-87.6714367,0,THEFT,7,0,0,3
41.671257198,-87.650220188,0,CRIMINAL SEXUAL ASSAULT,6,0,5,8
41.732429048,-87.585553602,0,CRIMINAL DAMAGE,5,0,7,3
41.797167289,-87.671963363,0,BATTERY,7,0,0,6
41.767499809,-87.680787163,0,CRIMINAL DAMAGE,7,0,0,3
41.874341768,-87.726681717,0,BURGLARY,1,0,1,5
41.892816145,-87.624193198,0,THEFT,0,0,6,3
41.809305232,-87.606558389,0,THEFT,2,0,3,3
